# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
93.0000000000 0.8391350014 0.9357793720 1.0324237425 0.7424906309 0.6458462604
94.0000000000 0.8227231945 0.9209385651 1.0191539357 0.7245078238 0.6262924532
95.0000000000 0.8028585851 0.9023390861 1.0018195871 0.7033780841 0.6038975830
96.0000000000 0.7799989817 0.8804208261 0.9808426704 0.6795771374 0.5791552930
97.0000000000 0.7546370308 0.8556658472 0.9566946637 0.6536082143 0.5525793978
98.0000000000 0.7272865820 0.8285847859 0.9298829899 0.6259883780 0.5246901741
99.0000000000 0.6984695981 0.7997037550 0.9009379118 0.5972354412 0.4960012843
100.0000000000 0.6687036983 0.7695515264 0.8703993545 0.5678558702 0.4670080422
101.0000000000 0.6384907425 0.7386476394 0.8388045363 0.5383338457 0.4381769488
102.0000000000 0.6083067207 0.7074916443 0.8066765680 0.5091217970 0.4099368733
103.0000000000 0.5785930897 0.6765536599 0.7745142302 0.4806325194 0.3826719492
104.0000000000 0.5497498118 0.6462665604 0.7427833091 0.4532330631 0.3567163145
105.0000000000 0.5221300933 0.6170198317 0.7119095702 0.4272403548 0.3323506163
106.0000000000 0.4960368272 0.5891550143 0.6822732014 0.4029186401 0.3098004530
107.0000000000 0.4717206875 0.5629628678 0.6542050481 0.3804785072 0.2892363269
108.0000000000 0.4493797437 0.5386820264 0.6279843091 0.3600774611 0.2707751784
109.0000000000 0.4291603877 0.5164989615 0.6038375353 0.3418218140 0.2544832402
110.0000000000 0.4111593800 0.4965491081 0.5819388362 0.3257696520 0.2403799239
111.0000000000 0.3954268320 0.4789189510 0.5624110701 0.3119347129 0.2284425939
112.0000000000 0.3819698774 0.4636488864 0.5453278955 0.3002908684 0.2186118593
113.0000000000 0.3707568784 0.4507366940 0.5307165096 0.2907770627 0.2107972471
114.0000000000 0.3617219745 0.4401414768 0.5185609790 0.2833024723 0.2048829700
115.0000000000 0.3547698281 0.4317879854 0.5088061427 0.2777516708 0.2007335135
116.0000000000 0.3497804224 0.4255712190 0.5013620156 0.2739896257 0.1981988291
117.0000000000 0.3466138822 0.4213612917 0.4961087012 0.2718664727 0.1971190632
118.0000000000 0.3451151392 0.4190083825 0.4929016257 0.2712218959 0.1973286526
119.0000000000 0.3451183834 0.4183477627 0.4915771419 0.2718890042 0.1986596249
120.0000000000 0.3464513264 0.4192048048 0.4919582832 0.2736978480 0.2009443697
121.0000000000 0.3489390781 0.4213997586 0.4938604391 0.2764783976 0.2040177171
122.0000000000 0.3524077325 0.4247523054 0.4970968783 0.2800631595 0.2077185866
123.0000000000 0.3566875026 0.4290855669 0.5014836311 0.2842894384 0.2118913742
124.0000000000 0.3616154541 0.4342296809 0.5068439078 0.2890012272 0.2163870004
125.0000000000 0.3670377800 0.4400246855 0.5130115910 0.2940508746 0.2210639691
