# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
167.0000000000 0.4331749769 0.5860943172 0.7390136574 0.2802556367 0.1273362964
168.0000000000 0.4280395298 0.5793750617 0.7307105935 0.2767039980 0.1253684661
169.0000000000 0.4230589269 0.5729074258 0.7227559247 0.2732104280 0.1233619292
170.0000000000 0.4182942296 0.5667640640 0.7152338985 0.2698243951 0.1213545607
171.0000000000 0.4138025262 0.5610112557 0.7082199851 0.2665937968 0.1193850673
172.0000000000 0.4096365341 0.5557086563 0.7017807784 0.2635644120 0.1174922899
173.0000000000 0.4058442582 0.5509092022 0.6959741463 0.2607793141 0.1157143701
174.0000000000 0.4024686731 0.5466590767 0.6908494803 0.2582782695 0.1140878658
175.0000000000 0.3995474899 0.5429977414 0.6864479928 0.2560972384 0.1126469870
176.0000000000 0.3971129392 0.5399582022 0.6828034653 0.2542676761 0.1114224131
177.0000000000 0.3951915959 0.5375669826 0.6799423693 0.2528162092 0.1104408226
178.0000000000 0.3938042712 0.5358445868 0.6778849025 0.2517639555 0.1097236399
179.0000000000 0.3929658868 0.5348053774 0.6766448680 0.2511263962 0.1092869056
180.0000000000 0.3926854248 0.5344580394 0.6762306540 0.2509128101 0.1091401955
